Exp#,Seed,LR,LR_DECAY,EPS_DECAY,PLANNING_STEPS,GAMMA,SOFT_TAU,STEP_PENALTY,IMPROVEMENT_FACTOR,REVISIT_PENALTY,N_STEP,BATCH_SIZE,REPLAY_CAPACITY,BestOverallSuccess
1,1463188873,0.0001511507804927064,0.999728180152951,0.99997,10,0.95,0.007994983807380241,0.011431652839308241,0.011977565713700554,0.052238980290616924,4,512,45000,100.0
2,1463188874,0.00015435263477834888,0.9997426234816653,0.99997,10,0.95,0.00799174307353903,0.009329496878525275,0.011610847037440756,0.05040272232814079,2,256,55000,97.1830985915493
